nome,link
PROINFA_EOL,https://dadosabertos.ccee.org.br/dataset/proinfa_eol
LISTA_PERFIL_V1,https://dadosabertos.ccee.org.br/dataset/lista_perfil_v1
SUMARIO_DISTRIB_MENSAL,https://dadosabertos.ccee.org.br/dataset/sumario_distrib_mensal
CONTRATO_MONTANTE_MENSAL_LEILAO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mensal_leilao
RRH_REPASSE,https://dadosabertos.ccee.org.br/dataset/rrh_repasse
EOLICA_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/eolica_gf_definida
EXPOSICAO_FINANCEIRA_MENSAL,https://dadosabertos.ccee.org.br/dataset/exposicao_financeira_mensal
GARANTIA_FISICA_SAZO_MRE_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_sazo_mre_submercado
FOTOVOLTAICA_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_gf_definida
CCEAR_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccear_resultado_mensal
CCGF_CONT_SAZONALIZADO,https://dadosabertos.ccee.org.br/dataset/ccgf_cont_sazonalizado
PERDA_RB_HORARIO,https://dadosabertos.ccee.org.br/dataset/perda_rb_horario
PCH_PROINFA,https://dadosabertos.ccee.org.br/dataset/pch_proinfa
GERACAO_FONTE_PRIMARIA,https://dadosabertos.ccee.org.br/dataset/geracao_fonte_primaria
RECEITA_VENDA_DISTRIBUIDOR_COTA_NUCLEAR,https://dadosabertos.ccee.org.br/dataset/receita_venda_distribuidor_cota_nuclear
PLD_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/pld_horario_submercado
ENERGIA_INCENTIVADA_MENSAL,https://dadosabertos.ccee.org.br/dataset/energia_incentivada_mensal
FOTOVOLTAICA_ACL,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_acl
PCH_CGH_GF_DEFINIDA,https://dadosabertos.ccee.org.br/dataset/pch_cgh_gf_definida
CONTRATO_MONTANTE_SUBMERCADO_HORARIO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_submercado_horario
MCSD_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/mcsd_resultado_mensal
ENERGIA_RESERVA_CONSUMO_REFERENCIA,https://dadosabertos.ccee.org.br/dataset/energia_reserva_consumo_referencia
CCEN_BALANCO_ENERGETICO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccen_balanco_energetico_mensal
BIOMASSA_LEILAO,https://dadosabertos.ccee.org.br/dataset/biomassa_leilao
GERACAO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/geracao_submercado
RRH_GERACAO_SUBMERCADO_HORARIA,https://dadosabertos.ccee.org.br/dataset/rrh_geracao_submercado_horaria
ENERGIA_DISTRIB_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/energia_distrib_horario_submercado
RRV_MENSAL,https://dadosabertos.ccee.org.br/dataset/rrv_mensal
BIOMASSA_SUBMERCADO_UF,https://dadosabertos.ccee.org.br/dataset/biomassa_submercado_uf
PROINFA_USINA,https://dadosabertos.ccee.org.br/dataset/proinfa_usina
ENERGIA_RESERVA_MENSAL_LEILAO,https://dadosabertos.ccee.org.br/dataset/energia_reserva_mensal_leilao
CCEN_CUSTO_CAFT,https://dadosabertos.ccee.org.br/dataset/ccen_custo_caft
PCH_ACL,https://dadosabertos.ccee.org.br/dataset/pch_acl
CONTRATO_MONTANTE_PERIODO,https://dadosabertos.ccee.org.br/dataset/contrato_montante_periodo
CCEN_RESULTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccen_resultado_mensal
CCGF_BALANCO_ENERGETICO_MENSAL,https://dadosabertos.ccee.org.br/dataset/ccgf_balanco_energetico_mensal
QTD_HORA_MES,https://dadosabertos.ccee.org.br/dataset/qtd_hora_mes
PENALIDADE_CLASSE_MENSAL,https://dadosabertos.ccee.org.br/dataset/penalidade_classe_mensal
ACL_EOL,https://dadosabertos.ccee.org.br/dataset/acl_eol
CONTRATO_MONTANTE_MOD_PROINFA_AGENTE,https://dadosabertos.ccee.org.br/dataset/contrato_montante_mod_proinfa_agente
SUMARIO_BE_HORARIO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/sumario_be_horario_submercado
GERACAO_CONSOLIDADA,https://dadosabertos.ccee.org.br/dataset/geracao_consolidada
GARANTIA_FISICA_SAZO_SUBMERCADO,https://dadosabertos.ccee.org.br/dataset/garantia_fisica_sazo_submercado
PERDA_RB_MES,https://dadosabertos.ccee.org.br/dataset/perda_rb_mes
FOTOVOLTAICA_GERACAO_ACR_ACL,https://dadosabertos.ccee.org.br/dataset/fotovoltaica_geracao_acr_acl
GERACAO_FONTE_SUB_ESTADO_MENSAL,https://dadosabertos.ccee.org.br/dataset/geracao_fonte_sub_estado_mensal
RESERVA_INADIMPLENCIA,https://dadosabertos.ccee.org.br/dataset/reserva_inadimplencia
PLD_MEDIA_MENSAL,https://dadosabertos.ccee.org.br/dataset/pld_media_mensal
LISTA_PERFIL,https://dadosabertos.ccee.org.br/dataset/lista_perfil
VAREJISTA_CONSUMIDOR,https://dadosabertos.ccee.org.br/dataset/varejista_consumidor
DISPONIBILIDADE_LEILAO_RECEITA,https://dadosabertos.ccee.org.br/dataset/disponibilidade_leilao_receita
CONSUMO_RAMO_ATIVIDADE,https://dadosabertos.ccee.org.br/dataset/consumo_ramo_atividade
PARCELA_CONSUMO_RAMO_ATIVIDADE,https://dadosabertos.ccee.org.br/dataset/parcela_consumo_ramo_atividade
PARCELA_USINA_MONTANTE_MENSAL,https://dadosabertos.ccee.org.br/dataset/parcela_usina_montante_mensal
RD_ENCARGOS_CONTAB_HORARIO,https://dadosabertos.ccee.org.br/dataset/rd_encargos_contab_horario
RD_ENCARGOS_CONTAB_MENSAL,https://dadosabertos.ccee.org.br/dataset/rd_encargos_contab_mensal
PLD_SOMBRA,https://dadosabertos.ccee.org.br/dataset/pld_sombra
PLD_FINAL_MEDIO,https://dadosabertos.ccee.org.br/dataset/pld_final_medio
PLD_FINAL_HISTORICO,https://dadosabertos.ccee.org.br/dataset/pld_final_historico
PLDX_VALOR_ANUAL,https://dadosabertos.ccee.org.br/dataset/pldx_valor_anual
CDE_DEMONSTRATIVO_SAIDA,https://dadosabertos.ccee.org.br/dataset/cde_demonstrativo_saida
CDE_DEMONSTRATIVO_ENTRADA,https://dadosabertos.ccee.org.br/dataset/cde_demonstrativo_entrada
CCC_DEMONSTRATIVO_ENTRADA,https://dadosabertos.ccee.org.br/dataset/ccc_demonstrativo_entrada
ENERGIA_INCENTIVADA_GF_FONTE,https://dadosabertos.ccee.org.br/dataset/energia_incentivada_gf_fonte
ENCARGO_ESS_ANCILAR,https://dadosabertos.ccee.org.br/dataset/encargo_ess_ancilar
ENCARGO_RECEBIDO_PERFIL_AGENTE_USINA,https://dadosabertos.ccee.org.br/dataset/encargo_recebido_perfil_agente_usina
ENCARGO_PGTO_MENSAL,https://dadosabertos.ccee.org.br/dataset/encargo_pgto_mensal
LISTA_PERMISSIONARIA_NAO_AGENTE,https://dadosabertos.ccee.org.br/dataset/lista_permissionaria_nao_agente
